"tab_name","field","field_type","required","owner_tag","allowed_values_or_rule","notes"
"Resource_Cards","resource_id","text","yes","Codex 做","stable id","空白模板可公開，真實資料只進 private board。"
"Resource_Cards","resource_topic","text","yes","Kevin 做","plain topic","由 Kevin 定義分類。"
"Resource_Cards","source_title","text","yes","夥伴做","public source title","只能用公開來源。"
"Resource_Cards","source_url","url","yes","夥伴做","public URL only","不可放登入頁或私人連結。"
"Resource_Cards","source_owner","text","no","夥伴做","public organization or page owner","只填公開可見資訊。"
"Resource_Cards","intended_user_group","text","no","夥伴做","publicly stated only","不能自行推論資格。"
"Resource_Cards","service_area","text","no","夥伴做","publicly stated only","城市、區域或服務範圍。"
"Resource_Cards","access_method","text","no","夥伴做","publicly stated route","不放私人聯絡紀錄。"
"Resource_Cards","last_seen_public","date","yes","夥伴做","checked date","每次來源檢查更新。"
"Resource_Cards","freshness_status","select","yes","自動化","fresh|watch|stale|unknown","可先手動，未來 report-first automation。"
"Resource_Cards","missing_fields","text","yes","Codex 做","comma-separated or note","缺欄要明列。"
"Resource_Cards","review_status","select","yes","Kevin 做","draft|needs_review|ready_public_safe|blocked_private","Kevin review gate。"
"Resource_Cards","risk_boundary_note","text","yes","Kevin 做","must state non-decision rule","資訊整理，不做資格或個案判斷。"
"Source_Checks","check_id","text","yes","自動化","stable id","每次來源檢查一列。"
"Source_Checks","resource_id","text","yes","自動化","matches Resource_Cards","可回連資源卡。"
"Source_Checks","link_status","select","yes","自動化","ok|changed|broken|login_required|unknown","login_required 應停下人工覆核。"
"Source_Checks","checked_at","date","yes","自動化","checked date","不含私人紀錄。"
"Review_Queue","review_id","text","yes","Codex 做","stable id","待覆核事項。"
"Review_Queue","review_question","text","yes","Codex 做","plain question","不要求夥伴做服務判斷。"
"Review_Queue","decision","select","yes","Kevin 做","ready|revise|pause|blocked","blocked 要寫原因。"
"No_Op_Checkpoints","checkpoint_id","text","yes","Codex 做","stable id","每週 no-op proof。"
"No_Op_Checkpoints","source_checked","text","yes","Codex 做","artifact or tab names","只記公開安全來源。"
"No_Op_Checkpoints","decision","select","yes","Codex 做","proceed|no-op|blocked","沿用 v1.3 template。"
"Governance","gate","text","yes","Kevin 做","approval gate name","包含 private setup、external send、automation。"
"Governance","required_before","text","yes","Kevin 做","action boundary","明確寫核准前不可做。"
