tab_name,field_key,field_label,required,type,classification,public_allowed,notes
person,person_id,內部人員 ID,yes,string,internal,no,不可使用身分證電話 email 或真名
person,source_type,來源類型,yes,enum,internal,no,applicant intern contractor referral existing_pool unknown
person,internal_name_ref,真名索引,no,string,restricted,no,只放索引不放真名
person,public_alias,公開匿名別名,no,string,public,yes,需不可逆且不可回推個人
person,status,狀態,yes,enum,internal,no,staging needs_review active paused shortlist trial not_selected archived
person,consent_scope,同意範圍,yes,enum,restricted,no,unknown evaluation_only talent_pool workforce_planning do_not_process
contact_profile,preferred_contact_ref,聯絡資訊索引,no,string,restricted,no,電話 email 不進 public
contact_profile,residence_area,居住區域,no,string,internal,no,只保留區域不放完整地址
contact_profile,available_days,可工作日,no,list,internal,no,用逗號分隔
contact_profile,available_hours_per_week,每週可工作時數,no,number,internal,no,作規劃用途
talent_profile,role_interest,角色興趣,no,list,internal,no,first_partner technical_automation content_research operations_support other
talent_profile,experience_summary,經驗摘要,no,text,internal,no,避免敏感私人資訊
talent_profile,skill_tags,技能標籤,no,list,internal,no,用逗號分隔
talent_profile,portfolio_refs,作品索引,no,list,internal,no,只放已核准可看的索引
work_history,covered_months,資料覆蓋月份,no,list,public,yes,YYYY-MM
work_history,total_hours,累計時數,no,number,internal,no,不得包含薪資金額
work_history,attendance_signal,出勤訊號,no,enum,internal,no,unknown insufficient mixed reliable strong
work_history,amounts_excluded,薪資金額已排除,yes,boolean,public,yes,public build 必須 true
application_input,raw_source_ref,原始來源索引,yes,string,internal,no,不得放公開私人連結
application_input,parsed_summary,資料摘要,yes,text,internal,no,只做證據摘要
application_input,confidence_level,證據信心,yes,enum,internal,no,A 試作實績 B 訪談作品 C 履歷自述
evaluation_run,role_template_id,評估角色模板,yes,enum,internal,no,first_partner technical_automation content_research
evaluation_run,d1_score,D1 工作線理解,yes,number,internal,no,1-5
evaluation_run,d2_score,D2 執行可靠度,yes,number,internal,no,1-5
evaluation_run,d3_score,D3 資料證據品質,yes,number,internal,no,1-5
evaluation_run,d4_score,D4 溝通回報,yes,number,internal,no,1-5
evaluation_run,d5_score,D5 學習可訓練,yes,number,internal,no,1-5
evaluation_run,d6_score,D6 風險 gate,yes,number,internal,no,低於 3 不接觸個資薪資任用
evaluation_run,d7_score,D7 Codex 工具協作,yes,number,internal,no,1-5
evaluation_run,d8_score,D8 專業深度,yes,number,internal,no,1-5
evaluation_run,weighted_score,加權分數,yes,number,internal,no,1-5 區間定位不是定薪命令
evaluation_run,compensation_fit,薪資區間輔助,no,enum,restricted,no,below_band within_band above_band manual_review_required not_evaluated
evaluation_run,risk_flags,風險旗標,no,list,internal,no,獨立顯示不混入平均分
decision_record,recommended_next_step,建議下一步,yes,enum,internal,no,collect_more_data trial_task interview shortlist hold archive manual_review
decision_record,decision_owner,人審 owner,yes,string,internal,no,錄用淘汰薪資必須人審
decision_record,final_decision,最終決策,yes,enum,restricted,no,none approved not_approved paused manual_review_required
redaction_status,public_allowed,可公開,yes,boolean,public,yes,預設 false
redaction_status,history_amounts_excluded,工時金額已排除,yes,boolean,public,yes,public build 必須 true
redaction_status,sensitive_field_scan,敏感欄位掃描,yes,enum,public,yes,not_run pass fail
