"view","property_name","schema_path","property_type","required","notion_hint","google_sheets_hint","public_rule","notes"
"Candidate Pipeline","Record ID","person.person_id","text","yes","Title or unique text","Text","internal only for real data","Use fictional IDs in public examples."
"Candidate Pipeline","Public Alias","person.public_alias","text","no","Text","Text","public safe only if irreversible","Do not use real names in public exports."
"Candidate Pipeline","Role Template","evaluation_run.role_template_id","select","yes","Select","Data validation list","internal","first_partner; technical_automation; content_research."
"Candidate Pipeline","Stage","decision_record.stage","select","yes","Select","Data validation list","internal","Use for pipeline grouping."
"Candidate Pipeline","Weighted Score","evaluation_run.scores.weighted_score","number","yes","Number","Number","internal","Planning signal only."
"Candidate Pipeline","Planning Value","evaluation_run.planning_value","select","no","Select","Data validation list","internal","Use for workload planning."
"Candidate Pipeline","Risk Flags","evaluation_run.risk_flags","multi_select","no","Multi-select","Semicolon text","internal","Review before assigning work."
"Trial Tasks","Task Template","trial_task_packet.task_template_id","text","yes","Relation or text","Text","internal","Links record to trial task pattern."
"Trial Tasks","Task Scope","trial_task_packet.task_scope","long_text","yes","Text","Wrapped text","internal","Must stay bounded."
"Trial Tasks","Expected Proof","trial_task_packet.expected_proof","multi_select","yes","Multi-select","Semicolon text","internal","Defines done."
"Trial Tasks","Stop Conditions","trial_task_packet.stop_conditions","multi_select","yes","Multi-select","Semicolon text","internal","Defines escalation."
"Trial Tasks","Send Status","trial_task_packet.send_status","select","yes","Select","Data validation list","internal","Public package should stay not_prepared or private_draft."
"Feedback Loop","Revision Count","feedback_loop.revision_count","number","yes","Number","Number","internal","Shows whether feedback has been tested."
"Feedback Loop","Improved After Feedback","feedback_loop.improved_after_feedback","select","yes","Select","Data validation list","internal","unknown; yes; no; mixed; not_tested."
"Feedback Loop","Reviewer Notes Ref","feedback_loop.reviewer_notes_ref","text","yes","Text","Text","restricted","Store pointer only; not private message text."
"Supervision","Supervision Load","supervision_profile.supervision_load","select","yes","Select","Data validation list","internal","Measures Kevin coordination load."
"Supervision","Allowed Gates","supervision_profile.allowed_gates","multi_select","yes","Multi-select","Semicolon text","internal","Default public-safe pilot uses G0; G1."
"Supervision","Not Allowed Tasks","supervision_profile.not_allowed_tasks","multi_select","yes","Multi-select","Semicolon text","internal","Prevents risky delegation."
"Supervision","Handoff Phase","supervision_profile.handoff_phase","select","yes","Select","Data validation list","internal","not_started; 30_days; 60_days; 90_days; owner_ready."
"Redaction","Sensitive Field Scan","redaction_status.sensitive_field_scan","select","yes","Select","Data validation list","public","Must pass before public artifact update."
"Redaction","Public Export Allowed","redaction_status.redaction_evidence.public_export_allowed","checkbox","yes","Checkbox","Boolean","public","Default false until Kevin explicitly approves."
