"work_line_id","work_line_name","task_id","task_name","checkpoint","owner_tag","partner_ready","codex_ready","automation_candidate","status","approval_gate","proof_artifact","next_review"
"social_worker_tools","社工可用工具開發","sw_resource_finder","公開資源查找與新鮮度卡","來源公開、更新日期、適用對象、下一步人工確認","夥伴做","yes","yes","yes","ready_for_trial","no","weekly/social-worker-tools-line-card-v1.3.json","next weekly refresh"
"social_worker_tools","社工可用工具開發","sw_needs_triage_checklist","需求盤點與初步分流 checklist","只做資訊整理、避免自動資格判定、保留人工覆核","Kevin 做","partial","yes","partial","spec_ready","no","docs/social-worker-tools-line-card-v1.3.md","Kevin selects first checklist"
"social_worker_tools","社工可用工具開發","sw_session_prep","會談與服務紀錄準備包","空白或虛構內容、owner、proof、approval gate","Codex 做","yes","yes","partial","candidate","no","weekly/social-worker-tools-line-card-v1.3.json","prototype brief"
"social_worker_tools","社工可用工具開發","sw_tool_trial","工具試作與回饋迴圈","小任務、無真實個案、停止條件、Kevin 回饋欄位","Kevin 做","yes","yes","no","candidate","yes before real partner send","docs/social-worker-tools-line-card-v1.3.md","trial task draft"
"citizen_finance_life_tools","一般民眾財務優化生活工具開發","cf_snapshot","財務生活快照","中立欄位、缺資料清單、plain-language summary","Kevin 做","partial","yes","partial","spec_ready","no","weekly/citizen-finance-life-tools-roadmap-v1.3.json","select prototype stage"
"citizen_finance_life_tools","一般民眾財務優化生活工具開發","cf_expense_debt_organizer","支出與債務整理器","分類表、問題 queue、風險邊界提醒","Codex 做","yes","yes","partial","candidate","no","docs/citizen-finance-life-tools-roadmap-v1.3.md","prototype brief"
"citizen_finance_life_tools","一般民眾財務優化生活工具開發","cf_resource_action_plan","資源與行動清單","公開資源、行動清單、追蹤節奏","夥伴做","yes","yes","yes","ready_for_trial","no","weekly/citizen-finance-life-tools-roadmap-v1.3.json","source card trial"
"citizen_finance_life_tools","一般民眾財務優化生活工具開發","cf_learning_loop","知識蒐集與活用迴圈","learning backlog、內容候選、工具改善 note","Codex 做","yes","yes","yes","candidate","no","docs/citizen-finance-life-tools-roadmap-v1.3.md","weekly learning review"
"weekly_no_op","週更 no-op checkpoint","noop_source_check","公開安全來源檢查","有來源清單、有覆核結果、有 next retry gate","自動化","no","yes","yes","template_ready","no","weekly/weekly-no-op-checkpoint-template-v1.3.json","weekly run"
"weekly_no_op","週更 no-op checkpoint","noop_decision_card","決策卡","decision 為 proceed、no-op 或 blocked","Codex 做","no","yes","yes","template_ready","no","docs/weekly-no-op-checkpoint-template-v1.3.md","weekly run"
"weekly_no_op","週更 no-op checkpoint","noop_public_publish_gate","公開更新 gate","只有有 public-safe 變動才更新公開頁","Kevin 做","no","yes","partial","guardrail","yes before push/deploy","docs/governance-expansion-review-card-v1.3.md","every public update"
"weekly_no_op","週更 no-op checkpoint","noop_redaction_link_check","掃描與連結檢查","redaction pass、href/src 存在、noindex 保留","Codex 做","no","yes","yes","verification_ready","no","reports/public-redaction-scan-report.v1.3.json","every public package"
